"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","130/1947","459/21069",1.83833476820549e-32,1.14785622926751e-28,8.10802387240105e-29,"ITGAL/ALOX5/CNN2/SPI1/WDR1/STK10/EDN1/CXCL2/ICAM1/ITGA6/CRKL/HMOX1/MYH9/RIN3/MMP9/HCK/FLT1/CORO1A/PIK3CG/DOCK8/CCL7/CCL2/BST1/ST3GAL4/SELPLG/NEDD9/VEGFA/IL1A/CCL20/IL1R1/SLAMF1/PADI2/CSF3R/DUSP1/PTK2B/CXCR4/NCKAP1L/TNFAIP6/PREX1/TREM1/CXCL6/GPR18/IL1B/TNFSF14/FFAR2/ADGRE2/RAC2/MPP1/NINJ1/LYVE1/C5AR2/ITGA7/EDNRB/MYO1G/IL10/CCN3/THBS1/CYP19A1/ITGB7/VAV1/TRPM2/NLRP12/ABL2/ECM1/S100A8/LYST/PLA2G7/MSN/ITGB1/ADAM8/FCER1G/ITGB2/JAML/IL6R/CXCL16/S100A9/S100A12/CXCR1/CXCL3/CXCL5/PPBP/CXCL1/CCR1/F2RL1/SYK/GREM1/CRK/CD300A/RHOH/PTAFR/CXCL8/GPR183/S1PR1/FPR2/PTGER4/PIK3CD/C3AR1/MYD88/OXSR1/STAT5B/CHST2/RHOG/GBA1/IL17RA/FUT7/CXCR2/SPNS2/CSF1/PDE4B/TNFRSF18/SELL/S100A14/HRH1/SRC/C5AR1/SIRPA/AGER/AIF1/CD177/GPSM3/TNF/LYN/ITGB3/PECAM1/MMP28/CCL4/CCL18/CCL3L1/CCL3/CD300H",130
"GO:0002274","GO:0002274","myeloid leukocyte activation","98/1947","285/21069",3.7174837691435e-32,1.1605984327266e-28,8.19802999616382e-29,"FGR/KMT2E/BTK/TYROBP/SLC11A1/IFNGR1/GRN/GAB2/LCP2/SBNO2/SPI1/JMJD6/FCGR2B/STXBP2/IL4R/CST7/PSEN1/PTPRC/LAT2/UNC13D/HMOX1/BPI/STX4/NDRG1/RELB/CD33/HAMP/PIK3CG/CBL/LTBR/PTPN6/IL1RL1/SLAMF1/MMP8/CNR1/NR4A3/IL13RA2/PREX1/CXCL6/CD93/ADGRE2/TICAM1/RAC2/SYT11/PRAM1/DOCK2/HAVCR2/DYSF/IL10/TLR4/IRF4/TLR2/THBS1/ANXA3/VSIG4/BATF/FCER1G/IFNGR2/ITGB2/S100A12/ZC3H12A/PRKCD/CAMP/F2RL1/IL31RA/SYK/CLEC4D/CD300A/RHOH/ADAM9/PTAFR/CXCL8/ITGAM/PIK3CD/MYD88/TLR1/TLR6/SPHK1/GATA2/CXCR2/FES/CSF1/CD300LF/LILRB4/LRRK2/MYO18A/C5AR1/PLCG2/SUCNR1/FCGR3A/AGER/AIF1/CD177/TNF/LILRA2/LYN/MILR1/CCL3",98
"GO:0002263","GO:0002263","cell activation involved in immune response","107/1947","339/21069",2.63214947230892e-31,5.47838043503231e-28,3.86972150490329e-28,"FGR/ITGAL/PGLYRP1/ST3GAL1/BTK/TYROBP/SLC11A1/GRN/GAB2/SBNO2/SPI1/BCL3/RAB27A/FCGR2B/STXBP2/IL4R/APBB1IP/CEACAM1/PSEN1/PTPRC/LAT2/ICAM1/UNC13D/IL12RB1/MFNG/LGALS1/HMOX1/SMAD7/CORO1A/STX4/RIPK2/NBN/RELB/LILRB1/TGFB1/JAK3/PIK3CG/SUPT6H/CBL/PTPN6/BCL6/CD86/IL18R1/SLAMF1/NR4A3/PTK2B/NCKAP1L/LRP1/IL13RA2/ADGRE2/TICAM1/RAC2/RARA/PRAM1/CD180/DOCK2/HAVCR2/DYSF/DOCK10/LCP1/HLX/IL10/TLR4/IRF4/ANXA3/SLC15A4/NFKBIZ/DOCK11/BATF/FCER1G/PGLYRP3/ITGB2/ZBTB7B/IL6R/NLRP3/ZC3H12A/F2RL1/SYK/CLEC4E/CLEC4D/NFKBID/CD300A/STAT3/PTAFR/GPR183/ITGAM/JUNB/PTGER4/PIK3CD/MYD88/EXO1/CLCF1/GAPT/GATA2/FES/LAMP1/SEMA4A/IL27/PLCG2/SUCNR1/CR1/FCGR3A/CD177/LILRA2/LYN/MILR1/CCL3",107
"GO:0002366","GO:0002366","leukocyte activation involved in immune response","106/1947","335/21069",3.97899470989156e-31,6.21121074214072e-28,4.38736521959096e-28,"FGR/ITGAL/PGLYRP1/ST3GAL1/BTK/TYROBP/SLC11A1/GRN/GAB2/SBNO2/SPI1/BCL3/RAB27A/FCGR2B/STXBP2/IL4R/APBB1IP/CEACAM1/PSEN1/PTPRC/LAT2/ICAM1/UNC13D/IL12RB1/MFNG/LGALS1/HMOX1/SMAD7/CORO1A/STX4/RIPK2/NBN/RELB/LILRB1/TGFB1/JAK3/PIK3CG/SUPT6H/CBL/PTPN6/BCL6/CD86/IL18R1/SLAMF1/NR4A3/PTK2B/NCKAP1L/IL13RA2/ADGRE2/TICAM1/RAC2/RARA/PRAM1/CD180/DOCK2/HAVCR2/DYSF/DOCK10/LCP1/HLX/IL10/TLR4/IRF4/ANXA3/SLC15A4/NFKBIZ/DOCK11/BATF/FCER1G/PGLYRP3/ITGB2/ZBTB7B/IL6R/NLRP3/ZC3H12A/F2RL1/SYK/CLEC4E/CLEC4D/NFKBID/CD300A/STAT3/PTAFR/GPR183/ITGAM/JUNB/PTGER4/PIK3CD/MYD88/EXO1/CLCF1/GAPT/GATA2/FES/LAMP1/SEMA4A/IL27/PLCG2/SUCNR1/CR1/FCGR3A/CD177/LILRA2/LYN/MILR1/CCL3",106
"GO:0032496","GO:0032496","response to lipopolysaccharide","117/1947","398/21069",6.27461195356676e-31,7.83573540761417e-28,5.53486822851468e-28,"MPO/BTK/SLC11A1/VIM/TNFRSF1B/MAP2K3/TNIP3/TAB2/SBNO2/SPI1/PTGS2/EDN1/CXCL2/IL12RB2/IRAK3/CEBPE/CSF2RB/NFKBIA/HCK/BPI/SLC7A5/RIPK2/LILRB1/TGFB1/CARD8/HAMP/CSF3/CCL2/NFKB1/IL10RA/CYP27B1/SASH1/PPARD/MAPK14/SOD2/CD86/MAPKAPK3/IL1A/KMO/CNR1/TNFAIP3/ARG1/CD274/GJB6/CXCL6/IL1B/TICAM1/ZFP36/LILRB2/RARA/GCH1/CD180/IRAK2/HAVCR2/AKIRIN2/EDNRB/IL10/IL36G/IL36A/IL36RN/TLR4/TLR2/CASP1/IFNAR1/BCL10/DUSP10/S100A8/TNIP1/NOTCH1/ADM/BMP6/LY96/CDK19/PTGIR/ALPL/NLRP3/MAPKAPK2/IL24/S100A9/CXCL3/CXCL5/PPBP/CXCL1/ZC3H12A/CAMP/ABCA1/GJB2/NLRP7/ADAM9/PTAFR/CXCL8/FOS/CD14/PTGER4/CEBPB/MYD88/RELA/TRIB1/RPS6KA3/THBD/CSF1/PDE4B/LITAF/S100A14/CD55/ARID5A/SRC/PELI1/PLCG2/SIRPA/CARD16/TNF/DEFA3/LILRA2/LYN/MRC1/CCL3",117
"GO:0002237","GO:0002237","response to molecule of bacterial origin","122/1947","432/21069",2.19895476772303e-30,2.2883789282771e-27,1.61642464504553e-27,"MPO/BTK/SLC11A1/VIM/TNFRSF1B/MAP2K3/TNIP3/TAB2/SBNO2/SPI1/FCGR2B/PTGS2/EDN1/CXCL2/IL12RB2/IRAK3/CEBPE/CSF2RB/NFKBIA/HCK/BPI/SLC7A5/RIPK2/LILRB1/TGFB1/CARD8/HAMP/CSF3/CCL2/NFKB1/IL10RA/CYP27B1/SASH1/PPARD/MAPK14/SOD2/CD86/MAPKAPK3/IL1A/KMO/CNR1/TNFAIP3/ARG1/CD274/GJB6/CXCL6/IL1B/TICAM1/ZFP36/LILRB2/RARA/GCH1/CD180/IRAK2/HAVCR2/AKIRIN2/EDNRB/IL10/IL36G/IL36A/IL36RN/TLR4/TLR2/CASP1/IFNAR1/BCL10/DUSP10/S100A8/TNIP1/NOTCH1/ADM/BMP6/CYRIB/LY96/CDK19/PTGIR/ALPL/NLRP3/MAPKAPK2/IL24/S100A9/CXCL3/CXCL5/PPBP/CXCL1/ZC3H12A/CAMP/ABCA1/GJB2/NLRP7/ADAM9/PTAFR/CXCL8/FOS/CD14/PTGER4/CEBPB/MYD88/RELA/TRIB1/TLR1/TLR6/RPS6KA3/THBD/CSF1/PDE4B/LITAF/S100A14/CD55/ARID5A/SRC/PELI1/C5AR1/PLCG2/SIRPA/CARD16/TNF/DEFA3/LILRA2/LYN/MRC1/CCL3",122
"GO:0071216","GO:0071216","cellular response to biotic stimulus","96/1947","310/21069",1.7641558134057e-27,1.57362698555789e-24,1.11155080573983e-24,"BTK/VIM/TNFRSF1B/MAP2K3/HSPA5/TNIP3/SBNO2/SPI1/FCGR2B/CXCL2/CEBPE/NFKBIA/HCK/BPI/SLC7A5/RIPK2/LILRB1/TGFB1/CARD8/HAMP/CSF3/CCL2/NFKB1/SASH1/PPARD/MAPK14/CD86/IL1A/KMO/TNFAIP3/ARG1/CD274/APAF1/CXCL6/IL1B/TICAM1/ZFP36/LILRB2/RARA/CD180/IRAK2/HAVCR2/EDNRB/IL10/IL36G/IL36A/IL36RN/TLR4/TLR2/CASP1/BCL10/TNIP1/NOTCH1/BCL2L11/BMP6/CYRIB/LY96/CDK19/PPP1R15B/CDA/NLRP3/IL24/CXCL3/CXCL5/PPBP/CXCL1/ZC3H12A/CAMP/SYK/ABCA1/NLRP7/ADAM9/PTAFR/CXCL8/CD14/CEBPB/CLEC7A/MYD88/RELA/TRIB1/TLR1/TLR6/PDE4B/LITAF/CD55/ARID5A/SRC/PLCG2/SIRPA/CARD16/TNF/DEFA3/LILRA2/LYN/MRC1/CCL3",96
"GO:0060326","GO:0060326","cell chemotaxis","106/1947","369/21069",3.39372134959213e-27,2.64879951335666e-24,1.87101216510408e-24,"ALOX5/HGF/SPI1/EDN1/CXCL2/CRKL/RIN3/FLT1/CORO1A/PIK3CG/CCL7/CCL2/BST1/BIN2/NEDD9/VEGFA/HBEGF/PDGFRB/CCL20/SLAMF1/PADI2/CSF3R/DUSP1/PTK2B/CCRL2/CXCR4/NCKAP1L/TNFAIP6/PREX1/TREM1/CXCL6/GPR18/IL1B/TNFSF14/FFAR2/ADGRE2/RAC2/DOCK4/MPP1/NINJ1/C5AR2/EDNRB/IL10/CCN3/THBS1/CYP19A1/FGF2/ARRB2/VAV1/TRPM2/EPHA2/PIP5K1A/S100A8/LYST/CXCL14/PLA2G7/NOTCH1/ADAM8/FCER1G/ITGB2/JAML/IL6R/CXCL16/S100A9/S100A12/CXCR1/CXCL3/CXCL5/PPBP/CXCL1/CCR1/PRKCD/F2RL1/SYK/GREM1/CRK/CXCL8/GPR183/S1PR1/FPR2/PIK3CD/DEFB4A/C3AR1/OXSR1/XCR1/RHOG/IL17RA/EGR3/CXCR2/CCR3/CSF1/PDE4B/S100A14/HRH1/C5AR1/PLXNB3/AIF1/TMSB4X/GPSM3/LYN/MMP28/CCL4/CCL18/CCL3L1/CCL3/CD300H",106
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","87/1947","283/21069",9.12229804548066e-25,6.32884766622014e-22,4.47045951000748e-22,"VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/SPI1/FCGR2B/CXCL2/CEBPE/NFKBIA/HCK/BPI/SLC7A5/RIPK2/LILRB1/TGFB1/CARD8/HAMP/CSF3/CCL2/NFKB1/SASH1/PPARD/MAPK14/CD86/IL1A/KMO/TNFAIP3/ARG1/CD274/CXCL6/IL1B/TICAM1/ZFP36/LILRB2/RARA/CD180/IRAK2/HAVCR2/EDNRB/IL10/IL36G/IL36A/IL36RN/TLR4/TLR2/CASP1/BCL10/TNIP1/BMP6/CYRIB/LY96/CDK19/NLRP3/IL24/CXCL3/CXCL5/PPBP/CXCL1/ZC3H12A/CAMP/ABCA1/NLRP7/ADAM9/PTAFR/CXCL8/CD14/CEBPB/MYD88/RELA/TRIB1/TLR1/TLR6/PDE4B/LITAF/CD55/ARID5A/SRC/PLCG2/SIRPA/CARD16/TNF/DEFA3/LILRA2/LYN/MRC1/CCL3",87
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","83/1947","270/21069",1.10547670967169e-23,6.90259657519005e-21,4.87573411949936e-21,"VIM/TNFRSF1B/MAP2K3/TNIP3/SBNO2/SPI1/CXCL2/CEBPE/NFKBIA/HCK/BPI/SLC7A5/RIPK2/LILRB1/TGFB1/CARD8/HAMP/CSF3/CCL2/NFKB1/SASH1/PPARD/MAPK14/CD86/IL1A/KMO/TNFAIP3/ARG1/CD274/CXCL6/IL1B/TICAM1/ZFP36/LILRB2/RARA/CD180/IRAK2/HAVCR2/EDNRB/IL10/IL36G/IL36A/IL36RN/TLR4/TLR2/CASP1/BCL10/TNIP1/BMP6/LY96/CDK19/NLRP3/IL24/CXCL3/CXCL5/PPBP/CXCL1/ZC3H12A/CAMP/ABCA1/NLRP7/ADAM9/PTAFR/CXCL8/CD14/CEBPB/MYD88/RELA/TRIB1/PDE4B/LITAF/CD55/ARID5A/SRC/PLCG2/SIRPA/CARD16/TNF/DEFA3/LILRA2/LYN/MRC1/CCL3",83
