_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-8.77569306081051,hsa04360,M1,1,0,KEGG Pathway,24,Axon guidance,,-8.77569306081051,6.942105263157894,9.10554164617591,30337,184,380,16,4.2105263157894735,1.0302325998517745,1969|2049|3983|3985|4773|5293|5361|5578|5590|5595|5998|6586|23654|54961|84628|219699,EPHA2|EPHB3|ABLIM1|LIMK2|NFATC2|PIK3CD|PLXNA1|PRKCA|PRKCZ|MAPK3|RGS3|SLIT3|PLXNB2|SSH3|NTNG2|UNC5B,-4.431281136235964,0,1,1,1,-8.77569306081051,7.257655502392344,
1,-4.361639262405466,R-HSA-9675108,M1,1,0,Reactome Gene Sets,6,Nervous system development,,-4.361639262405466,2.786534398824286,4.862558533445728,30337,573,380,20,5.2631578947368425,1.1454888159631762,1298|1759|1969|2049|2107|2817|3983|3985|4155|5293|5361|5578|5595|5605|5909|6196|6586|23396|116986|219699,COL9A2|DNM1|EPHA2|EPHB3|ETF1|GPC1|ABLIM1|LIMK2|MBP|PIK3CD|PLXNA1|PRKCA|MAPK3|MAP2K2|RAP1GAP|RPS6KA2|SLIT3|PIP5K1C|AGAP2|UNC5B,-1.6082919448574182,0,1,0,0,-8.77569306081051,7.257655502392344,
1,-4.133877776239022,R-HSA-422475,M1,1,0,Reactome Gene Sets,6,Axon guidance,,-4.133877776239022,2.767974452554745,4.703921857775643,30337,548,380,19,5.0,1.118033988749895,1298|1759|1969|2049|2107|2817|3983|3985|5293|5361|5578|5595|5605|5909|6196|6586|23396|116986|219699,COL9A2|DNM1|EPHA2|EPHB3|ETF1|GPC1|ABLIM1|LIMK2|PIK3CD|PLXNA1|PRKCA|MAPK3|MAP2K2|RAP1GAP|RPS6KA2|SLIT3|PIP5K1C|AGAP2|UNC5B,-1.439686035480406,0,1,0,0,-8.77569306081051,7.257655502392344,
1,-2.6545700779079695,R-HSA-373752,M1,1,0,Reactome Gene Sets,6,Netrin-1 signaling,,-2.6545700779079695,7.257655502392344,4.678306193803663,30337,44,380,4,1.0526315789473684,0.5235383780577263,3983|6586|116986|219699,ABLIM1|SLIT3|AGAP2|UNC5B,-0.6133542107539118,0,1,0,0,-8.77569306081051,7.257655502392344,
1,-7.23430456643922,GO:0000902,M1,1,0,GO Biological Processes,19,cell morphogenesis,19_GO:0032502 developmental process,-7.23430456643922,3.2537960622079214,6.729804246877299,30337,687,380,28,7.368421052631579,1.340216475497712,575|832|886|1003|1855|1952|1969|2049|4774|5048|5361|5590|6586|6886|7171|7465|10160|10458|11078|23136|26053|84628|85358|153090|161882|168002|219699|494470,ADGRB1|CAPZB|CCKAR|CDH5|DVL1|CELSR2|EPHA2|EPHB3|NFIA|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|TAL1|TPM4|WEE1|FARP1|BAIAP2|TRIOBP|EPB41L3|AUTS2|NTNG2|SHANK3|DAB2IP|ZFPM1|DACT2|UNC5B|ARK2C,-3.1909226375286543,0,2,1,1,-7.23430456643922,4.543410355156182,
1,-5.054509803371724,GO:0031175,M1,1,0,GO Biological Processes,19,neuron projection development,19_GO:0032502 developmental process,-5.054509803371724,2.7608372516305173,5.285178651469004,30337,694,380,24,6.315789473684211,1.2478294319722176,575|886|1855|1952|2049|5048|5361|5590|6586|7465|9922|10160|10458|11078|23136|26053|79778|79805|84628|85358|153090|201191|219699|494470,ADGRB1|CCKAR|DVL1|CELSR2|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|IQSEC1|FARP1|BAIAP2|TRIOBP|EPB41L3|AUTS2|MICALL2|VASH2|NTNG2|SHANK3|DAB2IP|SAMD14|UNC5B|ARK2C,-2.0111278744611587,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-4.837175018345682,GO:0048812,M1,1,0,GO Biological Processes,19,neuron projection morphogenesis,19_GO:0032502 developmental process,-4.837175018345682,3.121090534979424,5.309085198723339,30337,486,380,19,5.0,1.118033988749895,575|886|1855|1952|2049|5048|5361|5590|6586|7465|10160|10458|23136|26053|84628|85358|153090|219699|494470,ADGRB1|CCKAR|DVL1|CELSR2|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|FARP1|BAIAP2|EPB41L3|AUTS2|NTNG2|SHANK3|DAB2IP|UNC5B|ARK2C,-1.872974335482741,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-4.775743187363893,GO:0120039,M1,1,0,GO Biological Processes,19,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-4.775743187363893,3.0893075356415483,5.25680474059626,30337,491,380,19,5.0,1.118033988749895,575|886|1855|1952|2049|5048|5361|5590|6586|7465|10160|10458|23136|26053|84628|85358|153090|219699|494470,ADGRB1|CCKAR|DVL1|CELSR2|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|FARP1|BAIAP2|EPB41L3|AUTS2|NTNG2|SHANK3|DAB2IP|UNC5B|ARK2C,-1.8383460349685263,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-4.715197307802426,GO:0048858,M1,1,0,GO Biological Processes,19,cell projection morphogenesis,19_GO:0032502 developmental process,-4.715197307802426,3.0581653225806456,5.205185424021439,30337,496,380,19,5.0,1.118033988749895,575|886|1855|1952|2049|5048|5361|5590|6586|7465|10160|10458|23136|26053|84628|85358|153090|219699|494470,ADGRB1|CCKAR|DVL1|CELSR2|EPHB3|PAFAH1B1|PLXNA1|PRKCZ|SLIT3|WEE1|FARP1|BAIAP2|EPB41L3|AUTS2|NTNG2|SHANK3|DAB2IP|UNC5B|ARK2C,-1.8311347045882123,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-4.698425374443096,GO:0050807,M1,1,0,GO Biological Processes,19,regulation of synapse organization,19_GO:0050789 regulation of biological process,-4.698425374443096,4.118431495405179,5.598649337084013,30337,252,380,13,3.4210526315789473,0.9324580730659966,575|1855|2049|5048|5802|10160|10458|22883|57622|58504|84628|85358|153090,ADGRB1|DVL1|EPHB3|PAFAH1B1|PTPRS|FARP1|BAIAP2|CLSTN1|LRFN1|ARHGAP22|NTNG2|SHANK3|DAB2IP,-1.8311347045882123,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-4.591512177321811,GO:0050803,M1,1,0,GO Biological Processes,19,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-4.591512177321811,4.02265401876785,5.49146717603614,30337,258,380,13,3.4210526315789473,0.9324580730659966,575|1855|2049|5048|5802|10160|10458|22883|57622|58504|84628|85358|153090,ADGRB1|DVL1|EPHB3|PAFAH1B1|PTPRS|FARP1|BAIAP2|CLSTN1|LRFN1|ARHGAP22|NTNG2|SHANK3|DAB2IP,-1.7597195763226965,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-3.2761676213029953,GO:0048667,M1,1,0,GO Biological Processes,19,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-3.2761676213029953,2.7031899726743496,4.06719257495181,30337,443,380,15,3.9473684210526314,0.9988877033108529,575|886|1855|1952|2049|5048|6586|10160|10458|11078|26053|84628|85358|219699|494470,ADGRB1|CCKAR|DVL1|CELSR2|EPHB3|PAFAH1B1|SLIT3|FARP1|BAIAP2|TRIOBP|AUTS2|NTNG2|SHANK3|UNC5B|ARK2C,-0.9140269297680172,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-3.0278329007657385,GO:0051963,M1,1,0,GO Biological Processes,19,regulation of synapse assembly,19_GO:0032502 developmental process,-3.0278329007657385,4.543410355156182,4.4349802455155505,30337,123,380,7,1.8421052631578947,0.6898077049272031,575|2049|5802|10160|22883|57622|84628,ADGRB1|EPHB3|PTPRS|FARP1|CLSTN1|LRFN1|NTNG2,-0.7940106864904408,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-2.6747284356622054,GO:1901888,M1,1,0,GO Biological Processes,19,regulation of cell junction assembly,19_GO:0050789 regulation of biological process,-2.6747284356622054,3.2220084965777667,3.750902023568632,30337,223,380,9,2.3684210526315788,0.7800686322379613,575|1969|2049|5802|10160|22883|23499|57622|84628,ADGRB1|EPHA2|EPHB3|PTPRS|FARP1|CLSTN1|MACF1|LRFN1|NTNG2,-0.618118241017885,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-2.164370226561912,GO:0007409,M1,1,0,GO Biological Processes,19,axonogenesis,19_GO:0032502 developmental process,-2.164370226561912,2.3993888409548463,3.0335428137311347,30337,366,380,11,2.8947368421052633,0.8600706562552147,575|886|1855|2049|5048|6586|10458|26053|84628|219699|494470,ADGRB1|CCKAR|DVL1|EPHB3|PAFAH1B1|SLIT3|BAIAP2|AUTS2|NTNG2|UNC5B|ARK2C,-0.37262651809955843,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-2.137995749421418,GO:0061564,M1,1,0,GO Biological Processes,19,axon development,19_GO:0032502 developmental process,-2.137995749421418,2.2755594449306167,2.968327290283641,30337,421,380,12,3.1578947368421053,0.8970964486597793,575|886|1855|2049|5048|6586|10458|26053|79805|84628|219699|494470,ADGRB1|CCKAR|DVL1|EPHB3|PAFAH1B1|SLIT3|BAIAP2|AUTS2|VASH2|NTNG2|UNC5B|ARK2C,-0.3546852084959274,0,2,0,0,-7.23430456643922,4.543410355156182,
1,-6.177561715805121,GO:0001944,M1,1,0,GO Biological Processes,19,vasculature development,19_GO:0032502 developmental process,-6.177561715805121,3.314416682500475,6.192043649103318,30337,554,380,23,6.052631578947368,1.2232708621864514,639|1003|1312|1969|2022|2034|2049|2548|3200|3339|4035|5154|5578|6886|9394|54345|57007|58504|79652|79805|130497|153090|219699,PRDM1|CDH5|COMT|EPHA2|ENG|EPAS1|EPHB3|GAA|HOXA3|HSPG2|LRP1|PDGFA|PRKCA|TAL1|HS6ST1|SOX18|ACKR3|ARHGAP22|TMEM204|VASH2|OSR1|DAB2IP|UNC5B,-2.3748331920029466,0,3,1,1,-6.177561715805121,3.4811429008567933,
1,-5.8923159637310425,GO:0001568,M1,1,0,GO Biological Processes,19,blood vessel development,19_GO:0032502 developmental process,-5.8923159637310425,3.295220697146243,6.021054733072873,30337,533,380,22,5.7894736842105265,1.1980569388113036,639|1003|1312|1969|2022|2034|2049|2548|3200|3339|4035|5154|5578|6886|9394|54345|57007|58504|79805|130497|153090|219699,PRDM1|CDH5|COMT|EPHA2|ENG|EPAS1|EPHB3|GAA|HOXA3|HSPG2|LRP1|PDGFA|PRKCA|TAL1|HS6ST1|SOX18|ACKR3|ARHGAP22|VASH2|OSR1|DAB2IP|UNC5B,-2.372870634568023,0,3,0,0,-6.177561715805121,3.4811429008567933,
1,-5.279937470076753,GO:0048568,M1,1,0,GO Biological Processes,19,embryonic organ development,19_GO:0032502 developmental process,-5.279937470076753,3.355862831858407,5.683480629517609,30337,452,380,19,5.0,1.118033988749895,639|1855|1969|2022|2034|3142|3200|3202|3216|5154|5595|6886|9394|10804|11078|54345|79805|130497|161882,PRDM1|DVL1|EPHA2|ENG|EPAS1|HLX|HOXA3|HOXA5|HOXB6|PDGFA|MAPK3|TAL1|HS6ST1|GJB6|TRIOBP|SOX18|VASH2|OSR1|ZFPM1,-2.1659744668804803,0,3,0,0,-6.177561715805121,3.4811429008567933,
1,-5.1168936183317255,GO:0035239,M1,1,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-5.1168936183317255,2.7849143206854348,5.333697295996883,30337,688,380,24,6.315789473684211,1.2478294319722176,639|1855|1969|2022|2034|2049|3142|3200|3202|3339|4035|5154|5578|6886|8642|9394|9620|23654|54345|57007|58504|130497|153090|219699,PRDM1|DVL1|EPHA2|ENG|EPAS1|EPHB3|HLX|HOXA3|HOXA5|HSPG2|LRP1|PDGFA|PRKCA|TAL1|DCHS1|HS6ST1|CELSR1|PLXNB2|SOX18|ACKR3|ARHGAP22|OSR1|DAB2IP|UNC5B,-2.051235294710008,0,3,0,0,-6.177561715805121,3.4811429008567933,
